Key,ShortName
1-IT|10-11|11-12.L.5b,1-IT|10-11|11-12.L.5b
1-IT|10-11|11-12.L.6,1-IT|10-11|11-12.L.6
1-IT|10-11|11-12.RH.4,1-IT|10-11|11-12.RH.4
1-IT|10-11|11-12.RI.4,1-IT|10-11|11-12.RI.4
1-IT|10-11|11-12.RST.4,1-IT|10-11|11-12.RST.4
1-IT|10-3|3.L.4a,1-IT|10-3|3.L.4a
1-IT|10-3|3.L.4b,1-IT|10-3|3.L.4b
1-IT|10-3|3.L.4c,1-IT|10-3|3.L.4c
1-IT|10-3|3.L.4d,1-IT|10-3|3.L.4d
1-IT|10-3|3.RI.4,1-IT|10-3|3.RI.4
1-IT|10-4|4.L.4a,1-IT|10-4|4.L.4a
1-IT|10-4|4.L.4b,1-IT|10-4|4.L.4b
1-IT|10-4|4.L.4c,1-IT|10-4|4.L.4c
1-IT|10-4|4.L.5c,1-IT|10-4|4.L.5c
1-IT|10-4|4.L.6,1-IT|10-4|4.L.6
1-IT|10-4|4.RI.4,1-IT|10-4|4.RI.4
1-IT|10-5|5.L.4a,1-IT|10-5|5.L.4a
1-IT|10-5|5.L.4b,1-IT|10-5|5.L.4b
1-IT|10-5|5.L.4c,1-IT|10-5|5.L.4c
1-IT|10-5|5.L.5c,1-IT|10-5|5.L.5c
1-IT|10-5|5.L.6,1-IT|10-5|5.L.6
1-IT|10-5|5.RI.4,1-IT|10-5|5.RI.4
1-IT|10-6|6-8.RH.4,1-IT|10-6|6-8.RH.4
1-IT|10-6|6-8.RST.4,1-IT|10-6|6-8.RST.4
1-IT|10-6|6.L.4a,1-IT|10-6|6.L.4a
1-IT|10-6|6.L.4b,1-IT|10-6|6.L.4b
1-IT|10-6|6.L.4c,1-IT|10-6|6.L.4c
1-IT|10-6|6.L.4d,1-IT|10-6|6.L.4d
1-IT|10-6|6.L.5b,1-IT|10-6|6.L.5b
1-IT|10-6|6.L.5c,1-IT|10-6|6.L.5c
1-IT|10-6|6.RI.4,1-IT|10-6|6.RI.4
1-IT|10-7|6-8.RH.4,1-IT|10-7|6-8.RH.4
1-IT|10-7|6-8.RST.4,1-IT|10-7|6-8.RST.4
1-IT|10-7|7.L.4a,1-IT|10-7|7.L.4a
1-IT|10-7|7.L.4b,1-IT|10-7|7.L.4b
1-IT|10-7|7.L.4c,1-IT|10-7|7.L.4c
1-IT|10-7|7.L.4d,1-IT|10-7|7.L.4d
